archetype_id;usage_type_tabula;usage_type_statistik;usage_simplified;building_period;building_status;energy_carrier_primary;Af_m2;Aroof_m2;GFA_m2;Aocc_m2;people0;E_final_heating_MWhyr;E_final_dhw_MWhyr;E_final_cooling_MWhyr;E_final_user_MWhyr;Q_use_heating_MWhyr;Q_use_dhw_MWhyr;Q_use_cooling_MWhyr;Q_use_user_MWhyr
MWB IV_1960-79_reno_dh;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1960-79;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;38.79138166144072;66.31951694303388;5.8732544075508795;79.80616860291313;38.0155540282119;64.9931266041732;14.6831360188772;79.80616860291313
MWB V_1980-89_reno_dh;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1980-89;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;93.43072450996122;66.40141616965042;3.6042458554428323;79.80234898406245;91.562110019762;65.0733878462574;9.01061463860708;79.80234898406245
MWB VI_1990-99_reno_dh;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1990-99;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;67.39769995539653;66.37421364645613;4.13802353891412;79.80229349179234;66.0497459562886;65.046729373527;10.3450588472853;79.80229349179234
EFH I_Bis 1919_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;bis 1919;original;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;20.963229533563666;2.2761105077538666;0.0;9.00244716287099;62.889688600691;6.8283315232616;0.0;9.00244716287099
EFH II_1920-44_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1920-44;original;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;17.0932775326729;2.264548141124467;0.0;9.00244716287099;51.2798325980187;6.7936444233734;0.0;9.00244716287099
EFH III_1945-59_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1945-59;original;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;15.614978339053534;2.2663154672517134;0.0;9.00244716287099;46.8449350171606;6.79894640175514;0.0;9.00244716287099
EFH IV_1960-79_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1960-79;original;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;12.730868011735401;2.257933490123673;0.0;9.00244716287099;38.1926040352062;6.77380047037102;0.0;9.00244716287099
EFH V_1980-89_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1980-89;original;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;14.286249892671465;2.2616851376928566;0.0;9.00244716287099;42.8587496780144;6.78505541307857;0.0;9.00244716287099
EFH VI_1990-99_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1990-99;original;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;6.6889740814974665;2.2156798873939;0.0;9.00244716287099;20.0669222444924;6.6470396621817;0.0;9.00244716287099
EFH VII_2000-20_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;2000-20;original;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;4.717566429593666;2.2562840482298467;0.2382458479672212;9.00244716287099;14.152699288781;6.76885214468954;0.595614619918053;9.00244716287099
EFH VIII_>2020_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;ab 2020;original;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;1.5825785718191134;2.23466268353048;0.559045834668308;9.00416480479757;4.74773571545734;6.70398805059144;1.39761458667077;9.00416480479757
RH I_Bis 1919_hp;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;bis 1919;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;109.157570312922;21.706924516247934;0.0;77.658259198774;327.472710938766;65.1207735487438;0.0;77.658259198774
RH II_1920-44_hp;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1920-44;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;109.32091203670633;21.7074226918902;0.0;77.658259198774;327.962736110119;65.1222680756706;0.0;77.658259198774
RH III_1945-59_hp;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1945-59;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;111.14558017852033;21.702378937412004;0.0;77.658259198774;333.436740535561;65.107136812236;0.0;77.658259198774
RH IV_1960-79_hp;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1960-79;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;126.85938908134567;21.713084349531368;0.0;77.658259198774;380.578167244037;65.1392530485941;0.0;77.658259198774
RH V_1980-89_hp;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1980-89;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;90.757834628068;21.688924316943968;0.0;77.658259198774;272.273503884204;65.0667729508319;0.0;77.658259198774
RH VI_1990-99_hp;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1990-99;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;55.88985679664034;21.677920118897333;0.0;77.658259198774;167.669570389921;65.033760356692;0.0;77.658259198774
RH VII_2000-20_hp;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;2000-20;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;30.770336530253832;21.688882168445065;3.687457495783068;77.658259198774;92.3110095907615;65.0666465053352;9.21864373945767;77.658259198774
RH VIII_>2020_hp;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;ab 2020;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;9.310894538201667;21.655943590719634;6.62451291327412;79.80854626417883;27.932683614605;64.9678307721589;16.5612822831853;79.80854626417883
MWB I_Bis 1919_hp;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;bis 1919;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;103.877200930059;21.704657734192335;0.0;77.658259198774;311.631602790177;65.113973202577;0.0;77.658259198774
MWB II_1920-44_hp;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1920-44;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;113.86123782382333;21.7125252142876;0.0;77.658259198774;341.58371347147;65.1375756428628;0.0;77.658259198774
MWB III_1945-59_hp;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1945-59;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;108.78515859519034;21.711656714920135;0.0;77.658259198774;326.355475785571;65.1349701447604;0.0;77.658259198774
MWB IV_1960-79_hp;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1960-79;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;104.66472110522899;21.701254227531;0.0;77.658259198774;313.994163315687;65.103762682593;0.0;77.658259198774
MWB V_1980-89_hp;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1980-89;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;62.192679922887;21.672371745470468;0.0;77.658259198774;186.578039768661;65.0171152364114;0.0;77.658259198774
MWB VI_1990-99_hp;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1990-99;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;59.90917050264833;21.67197969252773;0.0;77.658259198774;179.727511507945;65.0159390775832;0.0;77.658259198774
MWB VII_2000-20_hp;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;2000-20;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;27.079026786903466;21.685188586027433;3.927418983446452;77.658259198774;81.2370803607104;65.0555657580823;9.81854745861613;77.658259198774
